"id","sex","age_range","nutrient","daily"
240,남자,"30~49",비타민 C,100.0
241,남자,"50~64",비타민 C,100.0
242,남자,"65~74",비타민 C,100.0
243,남자,"75~100",비타민 C,100.0
244,여자,"6~8",비타민 C,50.0
245,여자,"9~11",비타민 C,70.0
246,여자,"12~14",비타민 C,90.0
247,여자,"15~18",비타민 C,100.0
248,여자,"19~29",비타민 C,100.0
249,여자,"30~49",비타민 C,100.0
250,여자,"50~64",비타민 C,100.0
251,여자,"65~74",비타민 C,100.0
252,여자,"75~100",비타민 C,100.0
253,남자,"6~8",니이아신,9.0
254,남자,"9~11",니이아신,11.0
255,남자,"12~14",니이아신,15.0
256,남자,"15~18",니이아신,17.0
257,남자,"19~29",니이아신,16.0
258,남자,"30~49",니이아신,16.0
259,남자,"50~64",니이아신,16.0
260,남자,"65~74",니이아신,14.0
261,남자,"75~100",니이아신,13.0
262,여자,"6~8",니이아신,9.0
263,여자,"9~11",니이아신,12.0
264,여자,"12~14",니이아신,15.0
265,여자,"15~18",니이아신,14.0
266,여자,"19~29",니이아신,14.0
267,여자,"30~49",니이아신,14.0
268,여자,"50~64",니이아신,14.0
269,여자,"65~74",니이아신,13.0
270,여자,"75~100",니이아신,12.0
271,남자,"6~8",비타민 B6,0.9
272,남자,"9~11",비타민 B6,1.1
273,남자,"12~14",비타민 B6,1.5
274,남자,"15~18",비타민 B6,1.5
275,남자,"19~29",비타민 B6,1.5
276,남자,"30~49",비타민 B6,1.5
277,남자,"50~64",비타민 B6,1.5
278,남자,"65~74",비타민 B6,1.5
279,남자,"75~100",비타민 B6,1.5
280,여자,"6~8",비타민 B6,0.9
281,여자,"9~11",비타민 B6,1.1
282,여자,"12~14",비타민 B6,1.4
283,여자,"15~18",비타민 B6,1.4
284,여자,"19~29",비타민 B6,1.4
285,여자,"30~49",비타민 B6,1.4
286,여자,"50~64",비타민 B6,1.4
287,여자,"65~74",비타민 B6,1.4
288,여자,"75~100",비타민 B6,1.4
289,남자,"6~8",비타민 B1,0.9
290,남자,"9~11",비타민 B1,1.1
291,남자,"12~14",비타민 B1,1.3
292,남자,"15~18",비타민 B1,1.4
293,남자,"19~29",비타민 B1,1.2
294,남자,"30~49",비타민 B1,1.2
295,남자,"50~64",비타민 B1,1.2
296,남자,"65~74",비타민 B1,1.2
297,남자,"75~100",비타민 B1,1.2
298,여자,"6~8",비타민 B1,0.8
299,여자,"9~11",비타민 B1,1.0
300,여자,"12~14",비타민 B1,1.2
301,여자,"15~18",비타민 B1,1.2
302,여자,"19~29",비타민 B1,1.1
303,여자,"30~49",비타민 B1,1.1
304,여자,"50~64",비타민 B1,1.1
305,여자,"65~74",비타민 B1,1.1
306,여자,"75~100",비타민 B1,1.1
307,남자,"6~8",비타민 B2,1.0
308,남자,"9~11",비타민 B2,1.3
309,남자,"12~14",비타민 B2,1.5
310,남자,"15~18",비타민 B2,1.7
311,남자,"19~29",비타민 B2,1.5
312,남자,"30~49",비타민 B2,1.5
313,남자,"50~64",비타민 B2,1.5
314,남자,"65~74",비타민 B2,1.5
315,남자,"75~100",비타민 B2,1.5
316,여자,"6~8",비타민 B2,0.9
317,여자,"9~11",비타민 B2,1.1
318,여자,"12~14",비타민 B2,1.3
319,여자,"15~18",비타민 B2,1.4
320,여자,"19~29",비타민 B2,1.2
321,여자,"30~49",비타민 B2,1.2
322,여자,"50~64",비타민 B2,1.2
323,여자,"65~74",비타민 B2,1.2
324,여자,"75~100",비타민 B2,1.2
325,남자,"6~8",엽산,220.0
326,남자,"9~11",엽산,300.0
327,남자,"12~14",엽산,360.0
328,남자,"15~18",엽산,400.0
329,남자,"19~29",엽산,400.0
330,남자,"30~49",엽산,400.0
331,남자,"50~64",엽산,400.0
332,남자,"65~74",엽산,400.0
333,남자,"75~100",엽산,400.0
334,여자,"6~8",엽산,220.0
335,여자,"9~11",엽산,300.0
336,여자,"12~14",엽산,360.0
337,여자,"15~18",엽산,400.0
338,여자,"19~29",엽산,400.0
339,여자,"30~49",엽산,400.0
340,여자,"50~64",엽산,400.0
341,여자,"65~74",엽산,400.0
342,여자,"75~100",엽산,400.0
343,남자,"6~8",비타민B12,1.3
344,남자,"9~11",비타민B12,1.7
345,남자,"12~14",비타민B12,2.3
346,남자,"15~18",비타민B12,2.4
347,남자,"19~29",비타민B12,2.4
348,남자,"30~49",비타민B12,2.4
349,남자,"50~64",비타민B12,2.4
350,남자,"65~74",비타민B12,2.4
351,남자,"75~100",비타민B12,2.4
352,여자,"6~8",비타민B12,1.3
353,여자,"9~11",비타민B12,1.7
354,여자,"12~14",비타민B12,2.3
355,여자,"15~18",비타민B12,2.4
356,여자,"19~29",비타민B12,2.4
357,여자,"30~49",비타민B12,2.4
358,여자,"50~64",비타민B12,2.4
359,여자,"65~74",비타민B12,2.4
360,여자,"75~100",비타민B12,2.4
361,남자,"6~8",판토텐산,3.0
362,남자,"9~11",판토텐산,4.0
363,남자,"12~14",판토텐산,5.0
364,남자,"15~18",판토텐산,5.0
365,남자,"19~29",판토텐산,5.0
366,남자,"30~49",판토텐산,5.0
367,남자,"50~64",판토텐산,5.0
368,남자,"65~74",판토텐산,5.0
369,남자,"75~100",판토텐산,5.0
370,여자,"6~8",판토텐산,3.0
371,여자,"9~11",판토텐산,4.0
372,여자,"12~14",판토텐산,5.0
373,여자,"15~18",판토텐산,5.0
374,여자,"19~29",판토텐산,5.0
375,여자,"30~49",판토텐산,5.0
376,여자,"50~64",판토텐산,5.0
377,여자,"65~74",판토텐산,5.0
378,여자,"75~100",판토텐산,5.0
379,남자,"6~8",비오틴,15.0
380,남자,"9~11",비오틴,20.0
381,남자,"12~14",비오틴,25.0
382,남자,"15~18",비오틴,30.0
383,남자,"19~29",비오틴,30.0
384,남자,"30~49",비오틴,30.0
385,남자,"50~64",비오틴,30.0
386,남자,"65~74",비오틴,30.0
387,남자,"75~100",비오틴,30.0
388,여자,"6~8",비오틴,15.0
389,여자,"9~11",비오틴,20.0
390,여자,"12~14",비오틴,25.0
391,여자,"15~18",비오틴,30.0
392,여자,"19~29",비오틴,30.0
393,여자,"30~49",비오틴,30.0
394,여자,"50~64",비오틴,30.0
395,여자,"65~74",비오틴,30.0
396,여자,"75~100",비오틴,30.0
397,남자,"6~8",칼슘,700.0
398,남자,"9~11",칼슘,800.0
399,남자,"12~14",칼슘,1000.0
400,남자,"15~18",칼슘,900.0
401,남자,"19~29",칼슘,800.0
402,남자,"30~49",칼슘,800.0
403,남자,"50~64",칼슘,750.0
404,남자,"65~74",칼슘,700.0
405,남자,"75~100",칼슘,700.0
406,여자,"6~8",칼슘,700.0
407,여자,"9~11",칼슘,800.0
408,여자,"12~14",칼슘,900.0
409,여자,"15~18",칼슘,800.0
410,여자,"19~29",칼슘,700.0
411,여자,"30~49",칼슘,700.0
412,여자,"50~64",칼슘,800.0
413,여자,"65~74",칼슘,800.0
414,여자,"75~100",칼슘,800.0
415,남자,"6~8",인,600.0
416,남자,"9~11",인,1200.0
417,남자,"12~14",인,1200.0
418,남자,"15~18",인,1200.0
419,남자,"19~29",인,700.0
420,남자,"30~49",인,700.0
421,남자,"50~64",인,700.0
422,남자,"65~74",인,700.0
423,남자,"75~100",인,700.0
424,여자,"6~8",인,550.0
425,여자,"9~11",인,1200.0
426,여자,"12~14",인,1200.0
427,여자,"15~18",인,1200.0
428,여자,"19~29",인,700.0
429,여자,"30~49",인,700.0
430,여자,"50~64",인,700.0
431,여자,"65~74",인,700.0
432,여자,"75~100",인,700.0
433,남자,"6~8",칼륨,2900.0
434,남자,"9~11",칼륨,3400.0
435,남자,"12~14",칼륨,3500.0
436,남자,"15~18",칼륨,3500.0
437,남자,"19~29",칼륨,3500.0
438,남자,"30~49",칼륨,3500.0
439,남자,"50~64",칼륨,3500.0
440,남자,"65~74",칼륨,3500.0
441,남자,"75~100",칼륨,3500.0
442,여자,"6~8",칼륨,2900.0
443,여자,"9~11",칼륨,3400.0
444,여자,"12~14",칼륨,3500.0
445,여자,"15~18",칼륨,3500.0
446,여자,"19~29",칼륨,3500.0
447,여자,"30~49",칼륨,3500.0
448,여자,"50~64",칼륨,3500.0
449,여자,"65~74",칼륨,3500.0
450,여자,"75~100",칼륨,3500.0
451,남자,"6~8",마그네슘,150.0
452,남자,"9~11",마그네슘,220.0
453,남자,"12~14",마그네슘,320.0
454,남자,"15~18",마그네슘,410.0
455,남자,"19~29",마그네슘,360.0
456,남자,"30~49",마그네슘,370.0
457,남자,"50~64",마그네슘,370.0
458,남자,"65~74",마그네슘,370.0
459,남자,"75~100",마그네슘,370.0
460,여자,"6~8",마그네슘,150.0
461,여자,"9~11",마그네슘,220.0
462,여자,"12~14",마그네슘,290.0
463,여자,"15~18",마그네슘,340.0
464,여자,"19~29",마그네슘,280.0
465,여자,"30~49",마그네슘,280.0
466,여자,"50~64",마그네슘,280.0
467,여자,"65~74",마그네슘,280.0
468,여자,"75~100",마그네슘,280.0
469,남자,"6~8",철,9.0
470,남자,"9~11",철,11.0
471,남자,"12~14",철,14.0
472,남자,"15~18",철,14.0
473,남자,"19~29",철,10.0
474,남자,"30~49",철,10.0
475,남자,"50~64",철,10.0
476,남자,"65~74",철,9.0
477,남자,"75~100",철,9.0
478,여자,"6~8",철,9.0
479,여자,"9~11",철,10.0
480,여자,"12~14",철,16.0
481,여자,"15~18",철,14.0
482,여자,"19~29",철,14.0
483,여자,"30~49",철,14.0
484,여자,"50~64",철,8.0
485,여자,"65~74",철,8.0
486,여자,"75~100",철,7.0
487,남자,"6~8",아연,5.0
488,남자,"9~11",아연,8.0
489,남자,"12~14",아연,8.0
490,남자,"15~18",아연,10.0
491,남자,"19~29",아연,10.0
492,남자,"30~49",아연,10.0
493,남자,"50~64",아연,10.0
494,남자,"65~74",아연,9.0
495,남자,"75~100",아연,9.0
496,여자,"6~8",아연,5.0
497,여자,"9~11",아연,8.0
498,여자,"12~14",아연,8.0
499,여자,"15~18",아연,9.0
500,여자,"19~29",아연,8.0
501,여자,"30~49",아연,8.0
502,여자,"50~64",아연,8.0
503,여자,"65~74",아연,7.0
504,여자,"75~100",아연,7.0
505,남자,"6~8",구리,470.0
506,남자,"9~11",구리,600.0
507,남자,"12~14",구리,800.0
508,남자,"15~18",구리,900.0
509,남자,"19~29",구리,850.0
510,남자,"30~49",구리,850.0
511,남자,"50~64",구리,850.0
512,남자,"65~74",구리,800.0
513,남자,"75~100",구리,800.0
514,여자,"6~8",구리,400.0
515,여자,"9~11",구리,550.0
516,여자,"12~14",구리,650.0
517,여자,"15~18",구리,700.0
518,여자,"19~29",구리,650.0
519,여자,"30~49",구리,650.0
520,여자,"50~64",구리,650.0
521,여자,"65~74",구리,600.0
522,여자,"75~100",구리,600.0
523,남자,"6~8",망간,2.5
524,남자,"9~11",망간,3.0
525,남자,"12~14",망간,4.0
526,남자,"15~18",망간,4.0
527,남자,"19~29",망간,4.0
528,남자,"30~49",망간,4.0
529,남자,"50~64",망간,4.0
530,남자,"65~74",망간,4.0
531,남자,"75~100",망간,4.0
532,여자,"6~8",망간,2.5
533,여자,"9~11",망간,3.0
534,여자,"12~14",망간,3.5
535,여자,"15~18",망간,3.5
536,여자,"19~29",망간,3.5
537,여자,"30~49",망간,3.5
538,여자,"50~64",망간,3.5
539,여자,"65~74",망간,3.5
540,여자,"75~100",망간,3.5
541,남자,"6~8",요오드,100.0
542,남자,"9~11",요오드,110.0
543,남자,"12~14",요오드,130.0
544,남자,"15~18",요오드,130.0
545,남자,"19~29",요오드,150.0
546,남자,"30~49",요오드,150.0
547,남자,"50~64",요오드,150.0
548,남자,"65~74",요오드,150.0
549,남자,"75~100",요오드,150.0
550,여자,"6~8",요오드,100.0
551,여자,"9~11",요오드,110.0
552,여자,"12~14",요오드,130.0
553,여자,"15~18",요오드,130.0
554,여자,"19~29",요오드,150.0
555,여자,"30~49",요오드,150.0
556,여자,"50~64",요오드,150.0
557,여자,"65~74",요오드,150.0
558,여자,"75~100",요오드,150.0
559,남자,"6~8",셀레늄,35.0
560,남자,"9~11",셀레늄,45.0
561,남자,"12~14",셀레늄,60.0
562,남자,"15~18",셀레늄,65.0
563,남자,"19~29",셀레늄,60.0
564,남자,"30~49",셀레늄,60.0
565,남자,"50~64",셀레늄,60.0
566,남자,"65~74",셀레늄,60.0
567,남자,"75~100",셀레늄,60.0
568,여자,"6~8",셀레늄,35.0
569,여자,"9~11",셀레늄,45.0
570,여자,"12~14",셀레늄,60.0
571,여자,"15~18",셀레늄,65.0
572,여자,"19~29",셀레늄,60.0
573,여자,"30~49",셀레늄,60.0
574,여자,"50~64",셀레늄,60.0
575,여자,"65~74",셀레늄,60.0
576,여자,"75~100",셀레늄,60.0
577,남자,"6~8",몰리브덴,18.0
578,남자,"9~11",몰리브덴,18.0
579,남자,"12~14",몰리브덴,30.0
580,남자,"15~18",몰리브덴,30.0
581,남자,"19~29",몰리브덴,30.0
582,남자,"30~49",몰리브덴,30.0
583,남자,"50~64",몰리브덴,30.0
584,남자,"65~74",몰리브덴,28.0
585,남자,"75~100",몰리브덴,28.0
586,여자,"6~8",몰리브덴,18.0
587,여자,"9~11",몰리브덴,18.0
588,여자,"12~14",몰리브덴,25.0
589,여자,"15~18",몰리브덴,25.0
590,여자,"19~29",몰리브덴,25.0
591,여자,"30~49",몰리브덴,25.0
592,여자,"50~64",몰리브덴,25.0
593,여자,"65~74",몰리브덴,22.0
594,여자,"75~100",몰리브덴,22.0
595,남자,"6~8",크롬,15.0
596,남자,"9~11",크롬,20.0
597,남자,"12~14",크롬,30.0
598,남자,"15~18",크롬,35.0
599,남자,"19~29",크롬,30.0
600,남자,"30~49",크롬,30.0
601,남자,"50~64",크롬,30.0
602,남자,"65~74",크롬,25.0
603,남자,"75~100",크롬,25.0
604,여자,"6~8",크롬,15.0
605,여자,"9~11",크롬,20.0
606,여자,"12~14",크롬,20.0
607,여자,"15~18",크롬,20.0
608,여자,"19~29",크롬,20.0
609,여자,"30~49",크롬,20.0
610,여자,"50~64",크롬,20.0
611,여자,"65~74",크롬,20.0
612,여자,"75~100",크롬,20.0
613,남자,"6~8",베타카로틴,450.0
614,남자,"9~11",베타카로틴,600.0
615,남자,"12~14",베타카로틴,750.0
616,남자,"15~18",베타카로틴,850.0
617,남자,"19~29",베타카로틴,800.0
618,남자,"30~49",베타카로틴,800.0
619,남자,"50~64",베타카로틴,750.0
620,남자,"65~74",베타카로틴,700.0
621,남자,"75~100",베타카로틴,700.0
622,여자,"6~8",베타카로틴,400.0
623,여자,"9~11",베타카로틴,550.0
624,여자,"12~14",베타카로틴,650.0
625,여자,"15~18",베타카로틴,650.0
626,여자,"19~29",베타카로틴,650.0
627,여자,"30~49",베타카로틴,650.0
628,여자,"50~64",베타카로틴,600.0
629,여자,"65~74",베타카로틴,600.0
630,여자,"75~100",베타카로틴,600.0
631,남자,"6~8",루테인,20.0
632,남자,"9~11",루테인,20.0
633,남자,"12~14",루테인,20.0
634,남자,"15~18",루테인,20.0
635,남자,"19~29",루테인,20.0
636,남자,"30~49",루테인,20.0
637,남자,"50~64",루테인,20.0
638,남자,"65~74",루테인,20.0
639,남자,"75~100",루테인,20.0
640,여자,"6~8",루테인,20.0
641,여자,"9~11",루테인,20.0
642,여자,"12~14",루테인,20.0
643,여자,"15~18",루테인,20.0
644,여자,"19~29",루테인,20.0
645,여자,"30~49",루테인,20.0
646,여자,"50~64",루테인,20.0
647,여자,"65~74",루테인,20.0
648,여자,"75~100",루테인,20.0
