"id","sex","age_range","nutrient","daily"
1,남자,"6~8",메티오닌,0.6
2,남자,"9~11",메티오닌,0.8
3,남자,"12~14",메티오닌,1.2
4,남자,"15~18",메티오닌,1.4
5,남자,"19~29",메티오닌,1.4
6,남자,"30~49",메티오닌,1.4
7,남자,"50~64",메티오닌,1.3
8,남자,"65~74",메티오닌,1.3
9,남자,"75~100",메티오닌,1.1
10,여자,"6~8",메티오닌,0.6
11,여자,"9~11",메티오닌,0.7
12,여자,"12~14",메티오닌,1.0
13,여자,"15~18",메티오닌,1.1
14,여자,"19~29",메티오닌,1.0
15,여자,"30~49",메티오닌,1.0
16,여자,"50~64",메티오닌,1.1
17,여자,"65~74",메티오닌,0.9
18,여자,"75~100",메티오닌,0.9
19,남자,"6~8",시스테인,0.6
20,남자,"9~11",시스테인,0.8
21,남자,"12~14",시스테인,1.2
22,남자,"15~18",시스테인,1.4
23,남자,"19~29",시스테인,1.4
24,남자,"30~49",시스테인,1.4
25,남자,"50~64",시스테인,1.3
26,남자,"65~74",시스테인,1.3
27,남자,"75~100",시스테인,1.1
28,여자,"6~8",시스테인,0.6
29,여자,"9~11",시스테인,0.7
30,여자,"12~14",시스테인,1.0
31,여자,"15~18",시스테인,1.1
32,여자,"19~29",시스테인,1.0
33,여자,"30~49",시스테인,1.0
34,여자,"50~64",시스테인,1.1
35,여자,"65~74",시스테인,0.9
36,여자,"75~100",시스테인,0.9
37,남자,"6~8",류신,1.3
38,남자,"9~11",류신,1.9
39,남자,"12~14",류신,2.7
40,남자,"15~18",류신,3.2
41,남자,"19~29",류신,3.1
42,남자,"30~49",류신,3.1
43,남자,"50~64",류신,2.8
44,남자,"65~74",류신,2.8
45,남자,"75~100",류신,2.7
46,여자,"6~8",류신,1.3
47,여자,"9~11",류신,1.8
48,여자,"12~14",류신,2.4
49,여자,"15~18",류신,2.4
50,여자,"19~29",류신,2.5
51,여자,"30~49",류신,2.4
52,여자,"50~64",류신,2.3
53,여자,"65~74",류신,2.2
54,여자,"75~100",류신,2.1
55,남자,"6~8",이소류신,0.6
56,남자,"9~11",이소류신,0.8
57,남자,"12~14",이소류신,1.2
58,남자,"15~18",이소류신,1.4
59,남자,"19~29",이소류신,1.4
60,남자,"30~49",이소류신,1.4
61,남자,"50~64",이소류신,1.3
62,남자,"65~74",이소류신,1.3
63,남자,"75~100",이소류신,1.1
64,여자,"6~8",이소류신,0.6
65,여자,"9~11",이소류신,0.7
66,여자,"12~14",이소류신,1.0
67,여자,"15~18",이소류신,1.1
68,여자,"19~29",이소류신,1.1
69,여자,"30~49",이소류신,1.0
70,여자,"50~64",이소류신,1.1
71,여자,"65~74",이소류신,0.9
72,여자,"75~100",이소류신,0.9
73,남자,"6~8",라이신,1.2
74,남자,"9~11",라이신,1.8
75,남자,"12~14",라이신,2.5
76,남자,"15~18",라이신,2.9
77,남자,"19~29",라이신,3.1
78,남자,"30~49",라이신,3.1
79,남자,"50~64",라이신,2.9
80,남자,"65~74",라이신,2.9
81,남자,"75~100",라이신,2.7
82,여자,"6~8",라이신,1.3
83,여자,"9~11",라이신,1.6
84,여자,"12~14",라이신,2.2
85,여자,"15~18",라이신,2.2
86,여자,"19~29",라이신,2.6
87,여자,"30~49",라이신,2.5
88,여자,"50~64",라이신,2.4
89,여자,"65~74",라이신,2.3
90,여자,"75~100",라이신,2.1
91,남자,"6~8",페닐알라닌,1.0
92,남자,"9~11",페닐알라닌,1.6
93,남자,"12~14",페닐알라닌,2.3
94,남자,"15~18",페닐알라닌,2.6
95,남자,"19~29",페닐알라닌,3.6
96,남자,"30~49",페닐알라닌,3.5
97,남자,"50~64",페닐알라닌,3.4
98,남자,"65~74",페닐알라닌,3.3
99,남자,"75~100",페닐알라닌,3.1
100,여자,"6~8",페닐알라닌,1.0
101,여자,"9~11",페닐알라닌,1.5
102,여자,"12~14",페닐알라닌,1.9
103,여자,"15~18",페닐알라닌,2.0
104,여자,"19~29",페닐알라닌,2.9
105,여자,"30~49",페닐알라닌,2.8
106,여자,"50~64",페닐알라닌,2.7
107,여자,"65~74",페닐알라닌,2.6
108,여자,"75~100",페닐알라닌,2.4
109,남자,"6~8",티로신,1.0
110,남자,"9~11",티로신,1.6
111,남자,"12~14",티로신,2.3
112,남자,"15~18",티로신,2.6
113,남자,"19~29",티로신,3.6
114,남자,"30~49",티로신,3.5
115,남자,"50~64",티로신,3.4
116,남자,"65~74",티로신,3.3
117,남자,"75~100",티로신,3.1
118,여자,"6~8",티로신,1.0
119,여자,"9~11",티로신,1.5
120,여자,"12~14",티로신,1.9
121,여자,"15~18",티로신,2.0
122,여자,"19~29",티로신,2.9
123,여자,"30~49",티로신,2.8
124,여자,"50~64",티로신,2.7
125,여자,"65~74",티로신,2.6
126,여자,"75~100",티로신,2.4
127,남자,"6~8",트레오닌,0.6
128,남자,"9~11",트레오닌,0.9
129,남자,"12~14",트레오닌,1.3
130,남자,"15~18",트레오닌,1.5
131,남자,"19~29",트레오닌,1.5
132,남자,"30~49",트레오닌,1.5
133,남자,"50~64",트레오닌,1.4
134,남자,"65~74",트레오닌,1.3
135,남자,"75~100",트레오닌,1.3
136,여자,"6~8",트레오닌,0.6
137,여자,"9~11",트레오닌,0.9
138,여자,"12~14",트레오닌,1.2
139,여자,"15~18",트레오닌,1.2
140,여자,"19~29",트레오닌,1.1
141,여자,"30~49",트레오닌,1.2
142,여자,"50~64",트레오닌,1.1
143,여자,"65~74",트레오닌,1.0
144,여자,"75~100",트레오닌,0.9
145,남자,"6~8",트립토판,0.2
146,남자,"9~11",트립토판,0.2
147,남자,"12~14",트립토판,0.3
148,남자,"15~18",트립토판,0.4
149,남자,"19~29",트립토판,0.3
150,남자,"30~49",트립토판,0.3
151,남자,"50~64",트립토판,0.3
152,남자,"65~74",트립토판,0.3
153,남자,"75~100",트립토판,0.3
154,여자,"6~8",트립토판,0.2
155,여자,"9~11",트립토판,0.2
156,여자,"12~14",트립토판,0.3
157,여자,"15~18",트립토판,0.3
158,여자,"19~29",트립토판,0.3
159,여자,"30~49",트립토판,0.3
160,여자,"50~64",트립토판,0.3
161,여자,"65~74",트립토판,0.2
162,여자,"75~100",트립토판,0.2
163,남자,"6~8",비타민 A,450.0
164,남자,"9~11",비타민 A,600.0
165,남자,"12~14",비타민 A,750.0
166,남자,"15~18",비타민 A,850.0
167,남자,"19~29",비타민 A,800.0
168,남자,"30~49",비타민 A,800.0
169,남자,"50~64",비타민 A,750.0
170,남자,"65~74",비타민 A,700.0
171,남자,"75~100",비타민 A,700.0
172,여자,"6~8",비타민 A,400.0
173,여자,"9~11",비타민 A,550.0
174,여자,"12~14",비타민 A,650.0
175,여자,"15~18",비타민 A,650.0
176,여자,"19~29",비타민 A,650.0
177,여자,"30~49",비타민 A,650.0
178,여자,"50~64",비타민 A,600.0
179,여자,"65~74",비타민 A,600.0
180,여자,"75~100",비타민 A,600.0
181,남자,"6~8",비타민 D,5.0
182,남자,"9~11",비타민 D,5.0
183,남자,"12~14",비타민 D,10.0
184,남자,"15~18",비타민 D,10.0
185,남자,"19~29",비타민 D,10.0
186,남자,"30~49",비타민 D,10.0
187,남자,"50~64",비타민 D,10.0
188,남자,"65~74",비타민 D,15.0
189,남자,"75~100",비타민 D,15.0
190,여자,"6~8",비타민 D,5.0
191,여자,"9~11",비타민 D,5.0
192,여자,"12~14",비타민 D,10.0
193,여자,"15~18",비타민 D,10.0
194,여자,"19~29",비타민 D,10.0
195,여자,"30~49",비타민 D,10.0
196,여자,"50~64",비타민 D,10.0
197,여자,"65~74",비타민 D,15.0
198,여자,"75~100",비타민 D,15.0
199,남자,"6~8",비타민 E,7.0
200,남자,"9~11",비타민 E,9.0
201,남자,"12~14",비타민 E,11.0
202,남자,"15~18",비타민 E,12.0
203,남자,"19~29",비타민 E,12.0
204,남자,"30~49",비타민 E,12.0
205,남자,"50~64",비타민 E,12.0
206,남자,"65~74",비타민 E,12.0
207,남자,"75~100",비타민 E,12.0
208,여자,"6~8",비타민 E,7.0
209,여자,"9~11",비타민 E,9.0
210,여자,"12~14",비타민 E,11.0
211,여자,"15~18",비타민 E,12.0
212,여자,"19~29",비타민 E,12.0
213,여자,"30~49",비타민 E,12.0
214,여자,"50~64",비타민 E,12.0
215,여자,"65~74",비타민 E,12.0
216,여자,"75~100",비타민 E,12.0
217,남자,"6~8",비타민 K,40.0
218,남자,"9~11",비타민 K,55.0
219,남자,"12~14",비타민 K,70.0
220,남자,"15~18",비타민 K,80.0
221,남자,"19~29",비타민 K,75.0
222,남자,"30~49",비타민 K,75.0
223,남자,"50~64",비타민 K,75.0
224,남자,"65~74",비타민 K,75.0
225,남자,"75~100",비타민 K,75.0
226,여자,"6~8",비타민 K,40.0
227,여자,"9~11",비타민 K,55.0
228,여자,"12~14",비타민 K,65.0
229,여자,"15~18",비타민 K,65.0
230,여자,"19~29",비타민 K,65.0
231,여자,"30~49",비타민 K,65.0
232,여자,"50~64",비타민 K,65.0
233,여자,"65~74",비타민 K,65.0
234,여자,"75~100",비타민 K,65.0
235,남자,"6~8",비타민 C,50.0
236,남자,"9~11",비타민 C,70.0
237,남자,"12~14",비타민 C,90.0
238,남자,"15~18",비타민 C,100.0
239,남자,"19~29",비타민 C,100.0
